Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
Knn,kBest,400,quantil,0.39,0.017876863479614258,0.016996145248413086
Knn,kBest,500,standard,0.42333333333333334,0.023083925247192383,0.02059769630432129
Knn,kBest,500,minmax,0.44333333333333336,0.020014524459838867,0.02100682258605957
Knn,kBest,500,quantil,0.42333333333333334,0.02173161506652832,0.02218484878540039
Knn,kBest,600,standard,0.38666666666666666,0.02452683448791504,0.02338099479675293
Knn,kBest,600,minmax,0.37,0.023001670837402344,0.02387857437133789
Knn,kBest,600,quantil,0.42333333333333334,0.024584293365478516,0.022804975509643555
Knn,kBest,750,standard,0.38666666666666666,0.028698444366455078,0.02968430519104004
Knn,kBest,750,minmax,0.3233333333333333,0.03051590919494629,0.029993057250976562
Knn,kBest,750,quantil,0.41333333333333333,0.02913641929626465,0.028496980667114258
Knn,PCA,10,standard,0.12,0.0046846866607666016,0.0054471492767333984
Knn,PCA,10,minmax,0.14666666666666667,0.00461888313293457,0.0044116973876953125
Knn,PCA,10,quantil,0.11333333333333333,0.004793405532836914,0.0043909549713134766
Knn,PCA,30,standard,0.19666666666666666,0.005221843719482422,0.006741046905517578
Knn,PCA,30,minmax,0.23333333333333334,0.006127119064331055,0.0051975250244140625
Knn,PCA,30,quantil,0.22333333333333333,0.005489826202392578,0.008498907089233398
Knn,PCA,60,standard,0.20666666666666667,0.006203889846801758,0.005890607833862305
Knn,PCA,60,minmax,0.17,0.006429910659790039,0.0062732696533203125
Knn,PCA,60,quantil,0.18,0.006568193435668945,0.006310224533081055
Knn,PCA,90,standard,0.18666666666666668,0.007258892059326172,0.007537126541137695
Knn,PCA,90,minmax,0.16,0.007564544677734375,0.007979869842529297
Knn,PCA,90,quantil,0.1,0.0071849822998046875,0.009683609008789062
Knn,PCA,100,standard,0.15333333333333332,0.007455110549926758,0.0075571537017822266
Knn,PCA,100,minmax,0.13333333333333333,0.008144617080688477,0.007515668869018555
Knn,PCA,100,quantil,0.13,0.008245706558227539,0.007292032241821289
Knn,PCA,120,standard,0.14666666666666667,0.008156299591064453,0.007891654968261719
Knn,PCA,120,minmax,0.14,0.00875234603881836,0.008697748184204102
Knn,PCA,120,quantil,0.08,0.00853419303894043,0.008064985275268555
Knn,PCA,140,standard,0.09666666666666666,0.009588479995727539,0.012055158615112305
Knn,PCA,140,minmax,0.12666666666666668,0.00976252555847168,0.009624719619750977
Knn,PCA,140,quantil,0.08,0.00998067855834961,0.01112508773803711
Knn,PCA,200,standard,0.08,0.010733842849731445,0.015184879302978516
Knn,PCA,200,minmax,0.09666666666666666,0.01085972785949707,0.010494232177734375
Knn,PCA,200,quantil,0.04666666666666667,0.01045846939086914,0.012010812759399414
Knn,PCA,300,standard,0.06,0.019674062728881836,0.020702123641967773
Knn,PCA,300,minmax,0.07666666666666666,0.020356178283691406,0.01606130599975586
Knn,PCA,300,quantil,0.07,0.020336389541625977,0.018099308013916016
Knn,PCA,400,standard,0.05,0.016217947006225586,0.019633054733276367
Knn,PCA,400,minmax,0.04,0.018162012100219727,0.017017126083374023
Knn,PCA,400,quantil,0.05,0.01762843132019043,0.016362905502319336
Knn,PCA,500,standard,0.043333333333333335,0.02619457244873047,0.023061037063598633
Knn,PCA,500,minmax,0.056666666666666664,0.02030658721923828,0.019446134567260742
Knn,PCA,500,quantil,0.04,0.020094871520996094,0.0200345516204834
