Model,Feature_Selector,k,Scaler,Score,Trainingstime,Fittime
MLP,PCA,100,standard,0.3233333333333333,9.250640869140625e-05,3.016763687133789
MLP,PCA,100,minmax,0.29,0.006289005279541016,4.012874364852905
MLP,PCA,100,quantil,0.36666666666666664,5.125999450683594e-05,3.9391446113586426
MLP,PCA,120,standard,0.30666666666666664,0.00010061264038085938,3.4920084476470947
MLP,PCA,120,minmax,0.3233333333333333,9.5367431640625e-05,2.989149332046509
MLP,PCA,120,quantil,0.35,7.271766662597656e-05,2.8869330883026123
MLP,PCA,140,standard,0.31333333333333335,9.989738464355469e-05,3.2799670696258545
MLP,PCA,140,minmax,0.30666666666666664,9.822845458984375e-05,3.2410080432891846
MLP,PCA,140,quantil,0.3233333333333333,4.935264587402344e-05,3.398717164993286
MLP,PCA,200,standard,0.22333333333333333,9.608268737792969e-05,3.7847561836242676
MLP,PCA,200,minmax,0.20333333333333334,9.751319885253906e-05,3.5221877098083496
MLP,PCA,200,quantil,0.30666666666666664,4.792213439941406e-05,3.967648983001709
MLP,PCA,300,standard,0.2,9.369850158691406e-05,5.107856035232544
MLP,PCA,300,minmax,0.19333333333333333,9.322166442871094e-05,4.336013555526733
MLP,PCA,300,quantil,0.2633333333333333,5.125999450683594e-05,4.07106351852417
MLP,PCA,400,standard,0.13333333333333333,7.081031799316406e-05,4.2730207443237305
MLP,PCA,400,minmax,0.14666666666666667,7.081031799316406e-05,4.519551038742065
MLP,PCA,400,quantil,0.17333333333333334,5.078315734863281e-05,4.607489347457886
MLP,PCA,500,standard,0.08666666666666667,0.00010418891906738281,3.790473699569702
MLP,PCA,500,minmax,0.1,9.369850158691406e-05,5.103759527206421
MLP,PCA,500,quantil,0.12,5.14984130859375e-05,4.927666425704956
MLP,PCA,600,standard,0.05333333333333334,7.510185241699219e-05,4.175464630126953
MLP,PCA,600,minmax,0.07,7.176399230957031e-05,8.99671745300293
MLP,PCA,600,quantil,0.08333333333333333,5.3882598876953125e-05,5.435772657394409
MLP,PCA,750,standard,0.02666666666666667,9.512901306152344e-05,4.947553873062134
MLP,PCA,750,minmax,0.05333333333333334,9.012222290039062e-05,6.318496465682983
MLP,PCA,750,quantil,0.03666666666666667,5.435943603515625e-05,5.840594291687012
RM,kBest,10,standard,0.13,7.43865966796875e-05,0.2891824245452881
RM,kBest,10,minmax,0.14,0.0001723766326904297,0.28063106536865234
RM,kBest,10,quantil,0.12333333333333334,0.0001671314239501953,0.2836012840270996
RM,kBest,30,standard,0.34,0.00017690658569335938,0.30176568031311035
RM,kBest,30,minmax,0.29333333333333333,0.0001838207244873047,0.30171799659729004
