n_neighbors,p,weights,algorithm,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,uniform,brute,0.0017778873443603516,10.099571943283081,5,0.9014603254934761,0.010975260516281891,81,21263,6379,14884
5,1,uniform,kd_tree,0.07694792747497559,3.4876632690429688,5,0.9020332183894323,0.010911452219648742,81,21263,6379,14884
5,1,uniform,ball_tree,0.08765983581542969,9.33457899093628,5,0.9017968867585859,0.010937774624606603,81,21263,6379,14884
5,2,uniform,brute,0.0017209053039550781,2.0880441665649414,5,0.8966652878583713,0.011509327504976555,81,21263,6379,14884
5,2,uniform,kd_tree,0.07726502418518066,2.457380771636963,5,0.896524680746547,0.011524988198909647,81,21263,6379,14884
5,2,uniform,ball_tree,0.08126211166381836,10.023983716964722,5,0.8965959077290493,0.011517055001518176,81,21263,6379,14884
10,1,uniform,brute,0.0021691322326660156,10.19209599494934,5,0.8885147682946861,0.012417125059641444,81,21263,6379,14884
10,1,uniform,kd_tree,0.07194280624389648,5.179026126861572,5,0.888678884370395,0.01239884595840801,81,21263,6379,14884
10,1,uniform,ball_tree,0.0808720588684082,9.976847887039185,5,0.8885812265586932,0.012409722997836494,81,21263,6379,14884
10,2,uniform,brute,0.0026388168334960938,2.2836577892303467,5,0.8820424972995575,0.013138000794813563,81,21263,6379,14884
10,2,uniform,kd_tree,0.07326912879943848,3.547222137451172,5,0.8821314369182854,0.013128094779894742,81,21263,6379,14884
10,2,uniform,ball_tree,0.07476091384887695,9.27562403678894,5,0.8821974358701853,0.013120743875860095,81,21263,6379,14884
5,1,uniform,brute,0.001600027084350586,10.188286066055298,6,0.8947520168182093,0.011688755491642347,81,21263,6379,14884
5,1,uniform,kd_tree,0.08057498931884766,3.464177131652832,6,0.8949677869209205,0.011664792239361866,81,21263,6379,14884
5,1,uniform,ball_tree,0.0879831314086914,8.925826787948608,6,0.8956078379418988,0.011593708693053246,81,21263,6379,14884
5,2,uniform,brute,0.001631021499633789,2.1398978233337402,6,0.8881015810103667,0.012427347488568935,81,21263,6379,14884
5,2,uniform,kd_tree,0.07347989082336426,2.4562058448791504,6,0.8893811742476262,0.01228523690338793,81,21263,6379,14884
5,2,uniform,ball_tree,0.08037495613098145,9.48879885673523,6,0.8895178747259698,0.012270055059340722,81,21263,6379,14884
10,1,uniform,brute,0.0022470951080322266,10.256026029586792,6,0.8808260241615613,0.013235364920355167,81,21263,6379,14884
10,1,uniform,kd_tree,0.07255816459655762,5.0694427490234375,6,0.8813740837592476,0.013174497866768598,81,21263,6379,14884
10,1,uniform,ball_tree,0.07989239692687988,9.488793134689331,6,0.881544992775247,0.013155516850325913,81,21263,6379,14884
10,2,uniform,brute,0.002501964569091797,2.298874855041504,6,0.8761004742443356,0.01376018065435926,81,21263,6379,14884
10,2,uniform,kd_tree,0.07167196273803711,3.5010619163513184,6,0.8766311633238028,0.013701242756411498,81,21263,6379,14884
10,2,uniform,ball_tree,0.0766441822052002,8.643255949020386,6,0.8767423358624549,0.01368889602460338,81,21263,6379,14884
5,1,uniform,brute,0.0022411346435546875,10.109668731689453,7,0.8995361847485948,0.011240084010168764,81,21263,6379,14884
5,1,uniform,kd_tree,0.08226609230041504,3.3160459995269775,7,0.8997305589477109,0.011218337052599942,81,21263,6379,14884
5,1,uniform,ball_tree,0.09796714782714844,8.371636390686035,7,0.899698538005948,0.011221919616875435,81,21263,6379,14884
5,2,uniform,brute,0.0017468929290771484,2.058495044708252,7,0.8975894931646856,0.011457883591941278,81,21263,6379,14884
5,2,uniform,kd_tree,0.07626891136169434,2.3440089225769043,7,0.8976740362295748,0.011448424751965391,81,21263,6379,14884
5,2,uniform,ball_tree,0.08121800422668457,8.870558023452759,7,0.8977214292913475,0.011443122325469918,81,21263,6379,14884
10,1,uniform,brute,0.0021889209747314453,10.250247716903687,7,0.8861133432418495,0.01274185721889514,81,21263,6379,14884
10,1,uniform,kd_tree,0.074066162109375,4.809800148010254,7,0.8863698868568894,0.012713154628035883,81,21263,6379,14884
10,1,uniform,ball_tree,0.0844430923461914,8.880715131759644,7,0.8863879984055774,0.012711128273290183,81,21263,6379,14884
10,2,uniform,brute,0.0024080276489257812,2.2673301696777344,7,0.8820176523773148,0.013200090954910931,81,21263,6379,14884
10,2,uniform,kd_tree,0.0759119987487793,3.287369966506958,7,0.8820498568811743,0.013196487853356597,81,21263,6379,14884
10,2,uniform,ball_tree,0.08173894882202148,8.020035982131958,7,0.882073517058993,0.013193840707359681,81,21263,6379,14884
5,1,uniform,brute,0.0020380020141601562,9.976119995117188,8,0.8965824951858028,0.011814366673290064,81,21263,6379,14884
5,1,uniform,kd_tree,0.09749007225036621,3.2573108673095703,8,0.8971227760362637,0.0117526452453232,81,21263,6379,14884
5,1,uniform,ball_tree,0.10164380073547363,9.3084237575531,8,0.8974055053890053,0.011720346378234964,81,21263,6379,14884
5,2,uniform,brute,0.0020608901977539062,1.8856770992279053,8,0.8921311209240312,0.0123228895565592,81,21263,6379,14884
5,2,uniform,kd_tree,0.07338595390319824,2.27638578414917,8,0.8933078081479857,0.012188465366490505,81,21263,6379,14884
5,2,uniform,ball_tree,0.07625889778137207,9.899338006973267,8,0.8932083271450375,0.01219983002905868,81,21263,6379,14884
10,1,uniform,brute,0.0020627975463867188,10.113009929656982,8,0.8826491557440472,0.01340610475906253,81,21263,6379,14884
10,1,uniform,kd_tree,0.07284092903137207,5.1245481967926025,8,0.8827706879546929,0.013392220976991371,81,21263,6379,14884
10,1,uniform,ball_tree,0.07802009582519531,9.951243877410889,8,0.8828001492692437,0.01338885533039793,81,21263,6379,14884
10,2,uniform,brute,0.0017042160034179688,2.0912511348724365,8,0.8779201938419543,0.013946339122633015,81,21263,6379,14884
10,2,uniform,kd_tree,0.0729212760925293,3.4367377758026123,8,0.8785954584188446,0.013869197217815264,81,21263,6379,14884
10,2,uniform,ball_tree,0.07517433166503906,9.193699836730957,8,0.8783411612301242,0.013898248007978176,81,21263,6379,14884
5,1,uniform,brute,0.0015978813171386719,10.248723030090332,9,0.8978824247189086,0.011494444515460755,81,21263,6379,14884
5,1,uniform,kd_tree,0.07985305786132812,3.3396501541137695,9,0.8979066768932571,0.011491714669284303,81,21263,6379,14884
5,1,uniform,ball_tree,0.08673405647277832,9.173637866973877,9,0.8977458399650399,0.011509818616056853,81,21263,6379,14884
5,2,uniform,brute,0.0019059181213378906,2.1876401901245117,9,0.8947509163990529,0.011846929859273542,81,21263,6379,14884
5,2,uniform,kd_tree,0.07383608818054199,2.362501859664917,9,0.8943569085631571,0.011891279729468705,81,21263,6379,14884
5,2,uniform,ball_tree,0.07745480537414551,9.946323871612549,9,0.8948641050641637,0.011834189243103269,81,21263,6379,14884
