n_neighbors,p,chunk_size,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
5,1,1,1.1682510375976562e-05,42.07961320877075,8,0.8921311209240311,0.012322889556559205,81,21263,6379,14884
5,1,4,1.1920928955078125e-05,65.39472222328186,8,0.8921311209240311,0.012322889556559205,81,21263,6379,14884
5,2,1,8.821487426757812e-06,42.50113105773926,8,0.8921311209240311,0.012322889556559205,81,21263,6379,14884
5,2,4,1.0013580322265625e-05,65.38835787773132,8,0.8921311209240311,0.012322889556559205,81,21263,6379,14884
10,1,1,1.1682510375976562e-05,44.16287612915039,8,0.8779237031082747,0.01394593822571388,81,21263,6379,14884
10,1,4,7.867813110351562e-06,61.21275186538696,8,0.8779237031082747,0.01394593822571388,81,21263,6379,14884
10,2,1,9.059906005859375e-06,39.10164999961853,8,0.8779237031082747,0.01394593822571388,81,21263,6379,14884
10,2,4,9.298324584960938e-06,49.53499627113342,8,0.8779237031082747,0.01394593822571388,81,21263,6379,14884
5,1,1,9.298324584960938e-06,43.084227085113525,9,0.8947509163990528,0.011846929859273549,81,21263,6379,14884
5,1,4,8.821487426757812e-06,63.646692991256714,9,0.8947509163990528,0.011846929859273549,81,21263,6379,14884
5,2,1,8.821487426757812e-06,43.12377381324768,9,0.8947509163990528,0.011846929859273549,81,21263,6379,14884
5,2,4,9.059906005859375e-06,63.50292897224426,9,0.8947509163990528,0.011846929859273549,81,21263,6379,14884
10,1,1,1.1205673217773438e-05,41.84304213523865,9,0.8801945445452577,0.01348540793867663,81,21263,6379,14884
10,1,4,1.5020370483398438e-05,57.71273875236511,9,0.8801945445452577,0.01348540793867663,81,21263,6379,14884
10,2,1,1.430511474609375e-05,36.681232929229736,9,0.8801945445452577,0.01348540793867663,81,21263,6379,14884
10,2,4,1.4066696166992188e-05,47.67079520225525,9,0.8801945445452577,0.01348540793867663,81,21263,6379,14884
5,1,1,1.71661376953125e-05,40.08013200759888,10,0.8922721372863973,0.012157244596564731,81,21263,6379,14884
5,1,4,1.2159347534179688e-05,60.71250295639038,10,0.8922721372863973,0.012157244596564731,81,21263,6379,14884
5,2,1,8.106231689453125e-06,40.17631697654724,10,0.8922721372863973,0.012157244596564731,81,21263,6379,14884
5,2,4,9.059906005859375e-06,60.891281843185425,10,0.8922721372863973,0.012157244596564731,81,21263,6379,14884
10,1,1,1.2874603271484375e-05,42.29366493225098,10,0.8786004201370948,0.013700117584595637,81,21263,6379,14884
10,1,4,7.867813110351562e-06,59.19369101524353,10,0.8786004201370948,0.013700117584595637,81,21263,6379,14884
10,2,1,1.0013580322265625e-05,38.220489263534546,10,0.8786004201370948,0.013700117584595637,81,21263,6379,14884
10,2,4,7.867813110351562e-06,48.709768295288086,10,0.8786004201370948,0.013700117584595637,81,21263,6379,14884
