weights,n_neighbors,p,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
uniform,5,3,0.009500980377197266,0.5903973579406738,9,0.50017387788638,1997959.2969333332,10,4999,1500,3499
uniform,10,1,0.00951695442199707,0.07471489906311035,9,0.5318976354789844,1871149.6453133335,10,4999,1500,3499
uniform,10,2,0.009392023086547852,0.06117105484008789,9,0.5269817687409737,1890799.8821,10,4999,1500,3499
uniform,10,3,0.009842872619628906,0.6466188430786133,9,0.5133228967323245,1945398.6097533335,10,4999,1500,3499
uniform,5,1,0.010607242584228516,0.06902194023132324,10,0.48371775472270284,2106756.2005333332,10,4999,1500,3499
uniform,5,2,0.009929180145263672,0.053848981857299805,10,0.49474838675847965,2061744.2857333333,10,4999,1500,3499
uniform,5,3,0.010365009307861328,0.5641348361968994,10,0.4923878511616889,2071376.7552800002,10,4999,1500,3499
uniform,10,1,0.009578943252563477,0.07530689239501953,10,0.501368354965446,2034730.6527933334,10,4999,1500,3499
uniform,10,2,0.009633779525756836,0.06052708625793457,10,0.4953725775657448,2059197.1947466666,10,4999,1500,3499
uniform,10,3,0.010161161422729492,0.6278867721557617,10,0.47599587041968205,2138266.3440333335,10,4999,1500,3499
