n_neighbors,weights,algorithm,score
35,uniform,brute,1.820078962210942
35,distance,auto,1.7258883248730963
35,distance,ball_tree,1.7258883248730963
35,distance,kd_tree,1.7258883248730963
35,distance,brute,1.7258883248730963
36,uniform,auto,1.8195149464184999
36,uniform,ball_tree,1.8195149464184999
36,uniform,kd_tree,1.8195149464184999
36,uniform,brute,1.8195149464184999
36,distance,auto,1.7377326565143822
36,distance,ball_tree,1.7377326565143822
36,distance,kd_tree,1.7377326565143822
36,distance,brute,1.7377326565143822
37,uniform,auto,1.820078962210942
37,uniform,ball_tree,1.820078962210942
37,uniform,kd_tree,1.820078962210942
37,uniform,brute,1.820078962210942
37,distance,auto,1.7377326565143822
37,distance,ball_tree,1.7377326565143822
37,distance,kd_tree,1.7377326565143822
37,distance,brute,1.7377326565143822
38,uniform,auto,1.8189509306260576
38,uniform,ball_tree,1.8189509306260576
38,uniform,kd_tree,1.8189509306260576
38,uniform,brute,1.8189509306260576
38,distance,auto,1.7490129723632262
38,distance,ball_tree,1.7490129723632262
38,distance,kd_tree,1.7490129723632262
38,distance,brute,1.7490129723632262
39,uniform,auto,1.8195149464184999
39,uniform,ball_tree,1.8195149464184999
39,uniform,kd_tree,1.8195149464184999
39,uniform,brute,1.8195149464184999
39,distance,auto,1.7371686407219402
39,distance,ball_tree,1.7371686407219402
39,distance,kd_tree,1.7371686407219402
39,distance,brute,1.7371686407219402
40,uniform,auto,1.8183869148336154
40,uniform,ball_tree,1.8183869148336154
40,uniform,kd_tree,1.8183869148336154
40,uniform,brute,1.8183869148336154
40,distance,auto,1.7490129723632262
40,distance,ball_tree,1.7490129723632262
40,distance,kd_tree,1.7490129723632262
40,distance,brute,1.7490129723632262
41,uniform,auto,1.8189509306260576
41,uniform,ball_tree,1.8189509306260576
41,uniform,kd_tree,1.8189509306260576
41,uniform,brute,1.8189509306260576
41,distance,auto,1.7490129723632262
41,distance,ball_tree,1.7490129723632262
41,distance,kd_tree,1.7490129723632262
41,distance,brute,1.7490129723632262
42,uniform,auto,1.8189509306260576
42,uniform,ball_tree,1.8189509306260576
42,uniform,kd_tree,1.8189509306260576
42,uniform,brute,1.8189509306260576
42,distance,auto,1.7490129723632262
42,distance,ball_tree,1.7490129723632262
42,distance,kd_tree,1.7490129723632262
42,distance,brute,1.7490129723632262
43,uniform,auto,1.8071065989847717
43,uniform,ball_tree,1.8071065989847717
43,uniform,kd_tree,1.8071065989847717
43,uniform,brute,1.8071065989847717
43,distance,auto,1.7490129723632262
43,distance,ball_tree,1.7490129723632262
43,distance,kd_tree,1.7490129723632262
43,distance,brute,1.7490129723632262
44,uniform,auto,1.8065425831923294
44,uniform,ball_tree,1.8065425831923294
44,uniform,kd_tree,1.8065425831923294
44,uniform,brute,1.8065425831923294
44,distance,auto,1.7484489565707841
44,distance,ball_tree,1.7484489565707841
44,distance,kd_tree,1.7484489565707841
44,distance,brute,1.7484489565707841
45,uniform,auto,1.8071065989847717
45,uniform,ball_tree,1.8071065989847717
45,uniform,kd_tree,1.8071065989847717
45,uniform,brute,1.8071065989847717
45,distance,auto,1.7484489565707841
45,distance,ball_tree,1.7484489565707841
45,distance,kd_tree,1.7484489565707841
45,distance,brute,1.7484489565707841
46,uniform,auto,1.8065425831923294
46,uniform,ball_tree,1.8065425831923294
46,uniform,kd_tree,1.8065425831923294
46,uniform,brute,1.8065425831923294
46,distance,auto,1.7484489565707841
46,distance,ball_tree,1.7484489565707841
46,distance,kd_tree,1.7484489565707841
46,distance,brute,1.7484489565707841
47,uniform,auto,1.8071065989847717
47,uniform,ball_tree,1.8071065989847717
47,uniform,kd_tree,1.8071065989847717
47,uniform,brute,1.8071065989847717
47,distance,auto,1.7484489565707841
47,distance,ball_tree,1.7484489565707841
47,distance,kd_tree,1.7484489565707841
47,distance,brute,1.7484489565707841
48,uniform,auto,1.8183869148336154
48,uniform,ball_tree,1.8183869148336154
48,uniform,kd_tree,1.8183869148336154
48,uniform,brute,1.8183869148336154
48,distance,auto,1.7484489565707841
48,distance,ball_tree,1.7484489565707841
48,distance,kd_tree,1.7484489565707841
48,distance,brute,1.7484489565707841
49,uniform,auto,1.807670614777214
49,uniform,ball_tree,1.807670614777214
49,uniform,kd_tree,1.807670614777214
49,uniform,brute,1.807670614777214
49,distance,auto,1.7484489565707841
49,distance,ball_tree,1.7484489565707841
49,distance,kd_tree,1.7484489565707841
49,distance,brute,1.7484489565707841
