n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
20,entropy,sqrt,1.3484032154083252,0.0139617919921875,0.5199757869249395,0.9475465313028765,0.7009787298092773,0.6425094551057571,0.8918255343731947
20,entropy,log2,1.1011674404144287,0.015989065170288086,0.1549636803874092,0.9458544839255499,0.7067037950951875,0.6530901686910932,0.8484491357518618
21,gini,sqrt,1.3162519931793213,0.024049758911132812,-0.20520581113801453,0.9486745628877609,0.7457054910138019,0.6967287335160988,0.8391797481455925
21,gini,log2,1.0080106258392334,0.017953157424926758,-0.20823244552058112,0.9458544839255499,0.7248532188397175,0.6760675764913053,0.8266917293233083
21,entropy,sqrt,1.3620681762695312,0.01399993896484375,-0.025423728813559324,0.9469825155104343,0.7249257278669043,0.6728433354011166,0.8416529873623004
21,entropy,log2,1.0999152660369873,0.014030694961547852,0.33958837772397094,0.9486745628877609,0.7204366471734893,0.6622626218157805,0.8764944863609982
22,gini,sqrt,1.27299165725708,0.01599431037902832,0.3389830508474576,0.9481105470953187,0.7157861722888208,0.6581303904108219,0.8741772811212651
22,gini,log2,1.0715034008026123,0.017498493194580078,0.031476997578692496,0.9435984207557812,0.6944831198908203,0.6442203790046626,0.8282605725216916
22,entropy,sqrt,1.4359982013702393,0.016987323760986328,0.21428571428571427,0.9447264523406655,0.6938277087033747,0.6409961379144739,0.8474273316732822
22,entropy,log2,1.129063367843628,0.017043590545654297,0.45944309927360777,0.9475465313028765,0.7044284907638945,0.646339023072459,0.8845102266154898
23,gini,sqrt,1.3261821269989014,0.015041828155517578,-0.020581113801452784,0.9514946418499718,0.758471354529672,0.705901186640786,0.8600811884306486
23,gini,log2,1.0628108978271484,0.01793694496154785,-0.2076271186440678,0.9464184997179921,0.7291105446416366,0.680199807896264,0.8293272747220597
23,entropy,sqrt,1.4964234828948975,0.01595926284790039,0.0986682808716707,0.9498025944726453,0.7409192779095828,0.685845356492506,0.8614419147694103
23,entropy,log2,1.1821529865264893,0.015957355499267578,-0.030871670702179176,0.9419063733784546,0.6835711500974659,0.6356532527564885,0.8147533372025537
24,gini,sqrt,1.4342682361602783,0.020013809204101562,-0.024818401937046004,0.9475465313028765,0.7292752005122606,0.6769755668060753,0.844191476941039
24,gini,log2,1.0692965984344482,0.016955137252807617,0.033292978208232446,0.9452904681331077,0.708469720727211,0.6566170732195385,0.837260034904014
24,entropy,sqrt,1.565108299255371,0.016954898834228516,0.4642857142857143,0.952058657642414,0.7417352008212104,0.6793968743121286,0.9007062083761677
24,entropy,log2,1.33705735206604,0.015991687774658203,0.09200968523002422,0.9435984207557812,0.6910719264008921,0.6403908110379605,0.8322008617832284
25,gini,sqrt,1.584946870803833,0.0209810733795166,-0.4509685230024213,0.9452904681331077,0.7316172626618083,0.6872536169531547,0.8139879204764701
25,gini,log2,1.2700095176696777,0.01902318000793457,0.15920096852300242,0.9498025944726453,0.7381801348281796,0.6820157885258039,0.8657736000804263
25,entropy,sqrt,1.733001470565796,0.01899123191833496,-0.2705811138014528,0.9441624365482234,0.7147891958292507,0.6675004502431313,0.815623762749571
25,entropy,log2,1.3370773792266846,0.01996469497680664,0.3389830508474576,0.9481105470953187,0.7157861722888208,0.6581303904108219,0.8741772811212651
26,gini,sqrt,1.6841754913330078,0.023041248321533203,0.1585956416464891,0.949238578680203,0.7338299661053138,0.6778835571208452,0.8635290148448043
26,gini,log2,1.3157989978790283,0.019984960556030273,-0.08898305084745763,0.9441624365482234,0.7056461958736435,0.6560117463430252,0.824335427240203
26,entropy,sqrt,1.7983996868133545,0.020014286041259766,0.2185230024213075,0.9486745628877609,0.7265025215069713,0.6699217577491846,0.8659104130308319
26,entropy,log2,1.4422502517700195,0.01910686492919922,0.33595641646489105,0.9452904681331077,0.6917157376784706,0.6374692333860285,0.8612045848887955
27,gini,sqrt,1.7596561908721924,0.02002716064453125,-0.14648910411622276,0.9469825155104343,0.7305854434472234,0.6805024713345207,0.834920634920635
27,gini,log2,1.310544490814209,0.024977922439575195,-0.028450363196125907,0.9441624365482234,0.7024587871339576,0.6521821783763232,0.8277099088617413
27,entropy,sqrt,1.8921513557434082,0.018996715545654297,-0.026634382566585957,0.9458544839255499,0.7160852971790013,0.6645788725911992,0.8363390994969943
27,entropy,log2,1.4029834270477295,0.024019718170166016,0.03026634382566586,0.9424703891708968,0.68489336492891,0.6359559161947451,0.8217067569487191
28,gini,sqrt,1.6759464740753174,0.02303314208984375,0.03389830508474576,0.9458544839255499,0.7130294038305908,0.6607493046244972,0.840062440469891
28,gini,log2,1.276029348373413,0.019454479217529297,0.0950363196125908,0.9464184997179921,0.7144806543204645,0.6610519680627539,0.8468101609462866
28,entropy,sqrt,1.8570566177368164,0.018993377685546875,0.09624697336561744,0.9475465313028765,0.7234858203661501,0.6693164308726712,0.8519947582993593
28,entropy,log2,1.4462180137634277,0.018996477127075195,-0.1513317191283293,0.9424703891708968,0.6950937415700027,0.6474446200948512,0.8119166049317388
