alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,2000,1.873668909072876,0.00042939186096191406,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,3000,2.7749435901641846,0.0004360675811767578,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,5000,4.591109037399292,0.00043082237243652344,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,1000,0.9498772621154785,0.0004601478576660156,7,0.1330979005156765,3396940.3694879995,10,48193,14458,33735
1e-05,2000,1.9663405418395996,0.0007636547088623047,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,3000,2.9402880668640137,0.0004756450653076172,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
1e-05,5000,4.807444095611572,0.0004820823669433594,7,0.1330979005191003,3396940.3694745833,10,48193,14458,33735
0.0001,1000,1.0813124179840088,0.000499725341796875,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,2000,1.91054368019104,0.0005085468292236328,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,3000,2.8000855445861816,0.0004985332489013672,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,5000,4.545497894287109,0.0007867813110351562,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,1000,0.9231362342834473,0.0004904270172119141,8,0.13647050185148468,3418055.7737641013,10,48193,14458,33735
1e-05,2000,1.8518378734588623,0.0004999637603759766,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,3000,2.796229362487793,0.0005326271057128906,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
1e-05,5000,4.942758560180664,0.0011212825775146484,8,0.13647050185478182,3418055.7737510502,10,48193,14458,33735
0.0001,1000,1.0035755634307861,0.001726388931274414,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,2000,1.7784011363983154,0.0004448890686035156,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,3000,2.8264503479003906,0.0004391670227050781,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,5000,4.932636737823486,0.0004382133483886719,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,1000,0.9395160675048828,0.0004458427429199219,9,0.14185809049223597,3414258.876940659,10,48193,14458,33735
1e-05,2000,2.0400750637054443,0.001050710678100586,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,3000,3.0054948329925537,0.0004355907440185547,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
1e-05,5000,6.019871234893799,0.0004949569702148438,9,0.14185809049171794,3414258.87694272,10,48193,14458,33735
0.0001,1000,1.1000454425811768,0.0004978179931640625,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,2000,1.9634881019592285,0.0005066394805908203,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,3000,2.940396785736084,0.0007801055908203125,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
0.0001,5000,5.19207763671875,0.0006291866302490234,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,1000,0.9784021377563477,0.003401041030883789,10,0.14907674764306833,3351496.2101972913,10,48193,14458,33735
1e-05,2000,1.9022266864776611,0.0004444122314453125,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,3000,3.032510280609131,0.0005204677581787109,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
1e-05,5000,5.014309406280518,0.0005166530609130859,10,0.14907674764050427,3351496.2102073906,10,48193,14458,33735
