alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,3000,0.15697121620178223,0.0004687309265136719,7,0.1333948632369638,3395776.726376772,10,48193,14458,33735
0.0001,5000,0.08919858932495117,0.004714488983154297,7,0.12869627920326654,3414188.0438634777,10,48193,14458,33735
1e-05,1000,0.11390137672424316,0.0005655288696289062,7,0.13100617056585973,3405136.775879017,10,48193,14458,33735
1e-05,2000,0.1238090991973877,0.00045561790466308594,7,0.13195487770873449,3401419.2839103504,10,48193,14458,33735
1e-05,3000,0.1648707389831543,0.0004949569702148438,7,0.13211815575900587,3400779.481791117,10,48193,14458,33735
1e-05,5000,0.1505119800567627,0.00047588348388671875,7,0.13254293721157084,3399114.983267828,10,48193,14458,33735
0.0001,1000,0.13530659675598145,0.0006589889526367188,8,0.13515863098137182,3423248.471652982,10,48193,14458,33735
0.0001,2000,0.18105530738830566,0.0004711151123046875,8,0.13551602618567304,3421833.816167331,10,48193,14458,33735
0.0001,3000,0.11760187149047852,0.0004627704620361328,8,0.1352129957688033,3423033.282854026,10,48193,14458,33735
0.0001,5000,0.10966658592224121,0.0017862319946289062,8,0.1349103875222668,3424231.0784898214,10,48193,14458,33735
1e-05,1000,0.14889979362487793,0.0005116462707519531,8,0.13433636683796613,3426503.189307623,10,48193,14458,33735
1e-05,2000,0.13174796104431152,0.002357006072998047,8,0.13418826936878192,3427089.394423615,10,48193,14458,33735
1e-05,3000,0.14326763153076172,0.0004980564117431641,8,0.1358285004306431,3420596.9685559147,10,48193,14458,33735
1e-05,5000,0.14903545379638672,0.0006833076477050781,8,0.13434263294987847,3426478.3865417102,10,48193,14458,33735
0.0001,1000,0.14801836013793945,0.0005278587341308594,9,0.14063420186738118,3419128.3193434826,10,48193,14458,33735
0.0001,2000,0.13903546333312988,0.002130270004272461,9,0.13763084878805432,3431077.6540608145,10,48193,14458,33735
0.0001,3000,0.11651849746704102,0.00045037269592285156,9,0.1394424316820544,3423869.973246459,10,48193,14458,33735
0.0001,5000,0.13986539840698242,0.00045752525329589844,9,0.14127424139796418,3416581.8166908626,10,48193,14458,33735
1e-05,1000,0.19899487495422363,0.0004367828369140625,9,0.14227935876151232,3412582.791771045,10,48193,14458,33735
1e-05,2000,0.0963740348815918,0.0006134510040283203,9,0.13862661123964648,3427115.849198466,10,48193,14458,33735
1e-05,3000,0.1359398365020752,0.0004603862762451172,9,0.14177948144667563,3414571.635971116,10,48193,14458,33735
1e-05,5000,0.14478802680969238,0.0004811286926269531,9,0.14019442544588245,3420878.0422440134,10,48193,14458,33735
0.0001,1000,0.14819717407226562,0.0005061626434326172,10,0.14868185690998126,3353051.5499905306,10,48193,14458,33735
0.0001,2000,0.15813446044921875,0.010171651840209961,10,0.14726268462505088,3358641.185156084,10,48193,14458,33735
0.0001,3000,0.15778565406799316,0.0004642009735107422,10,0.14731818569638,3358422.585382595,10,48193,14458,33735
0.0001,5000,0.16352105140686035,0.00043463706970214844,10,0.14502266471797598,3367463.8588913865,10,48193,14458,33735
1e-05,1000,0.11497998237609863,0.0011091232299804688,10,0.1491889779049489,3351054.1735079424,10,48193,14458,33735
1e-05,2000,0.1162109375,0.0004565715789794922,10,0.14902434939266984,3351702.5890183486,10,48193,14458,33735
1e-05,3000,0.12033438682556152,0.0006043910980224609,10,0.14635127542213955,3362230.9148773435,10,48193,14458,33735
1e-05,5000,0.11440110206604004,0.0005304813385009766,10,0.14795484241598233,3355915.0119004585,10,48193,14458,33735
