alpha,max_iter,train_time,inference_time,k,R2_score,RMSE,D,N,n_test,n_train
0.0001,2000,0.07916927337646484,0.0020225048065185547,9,0.23697718433512793,0.7963653219115225,10,48193,14458,33735
0.0001,3000,0.07910513877868652,0.0016307830810546875,9,0.2417615449819337,0.7913718946791871,10,48193,14458,33735
0.0001,5000,0.07602739334106445,0.0005981922149658203,9,0.2411540289231282,0.7920059579231747,10,48193,14458,33735
1e-05,1000,0.08326911926269531,0.0006134510040283203,9,0.23876982936852242,0.7944943420275878,10,48193,14458,33735
1e-05,2000,0.07205343246459961,0.0006101131439208984,9,0.23976625764256243,0.7934543719153886,10,48193,14458,33735
1e-05,3000,0.07226109504699707,0.0009403228759765625,9,0.23621864510735024,0.797157007722104,10,48193,14458,33735
1e-05,5000,0.07300114631652832,0.003668546676635742,9,0.23977635897914285,0.7934438291714594,10,48193,14458,33735
0.0001,1000,0.07388448715209961,0.0006015300750732422,10,0.24427656176391,0.7832018661124526,10,48193,14458,33735
0.0001,2000,0.07262992858886719,0.0030243396759033203,10,0.24551178116639338,0.7819217336034737,10,48193,14458,33735
0.0001,3000,0.0787498950958252,0.0031616687774658203,10,0.2449065706118978,0.782548949872931,10,48193,14458,33735
0.0001,5000,0.06470608711242676,0.0009489059448242188,10,0.24500873458942618,0.7824430711694248,10,48193,14458,33735
1e-05,1000,0.07333827018737793,0.0006084442138671875,10,0.2459508856128415,0.7814666631312925,10,48193,14458,33735
1e-05,2000,0.07349824905395508,0.0005934238433837891,10,0.2471362156841277,0.7802382339509599,10,48193,14458,33735
1e-05,3000,0.07117390632629395,0.0006070137023925781,10,0.24738681575577293,0.7799785219533825,10,48193,14458,33735
1e-05,5000,0.07179617881774902,0.002624034881591797,10,0.24763655969600307,0.7797196972165249,10,48193,14458,33735
