alpha,hidden_layer_sizes,solver,activation,train_time,inference_time,score,accuracy,f1,recall,precision,id
0.01,"(20, 20)",adam,relu,2.4814884662628174,0.0006988048553466797,0.9090909090909091,0.9090909090909091,0.9067302596714362,0.9042105263157895,0.9102564102564102,13
0.01,"(20, 20)",lbfgs,tanh,0.12087297439575195,0.0008244514465332031,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,14
0.01,"(20, 20)",lbfgs,relu,0.13126039505004883,0.0006611347198486328,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,15
0.01,"(50, 50)",adam,tanh,3.5300793647766113,0.0011396408081054688,0.9090909090909091,0.9090909090909091,0.9067302596714362,0.9042105263157895,0.9102564102564102,16
0.01,"(50, 50)",adam,relu,3.3639047145843506,0.0029947757720947266,0.9090909090909091,0.9090909090909091,0.9067302596714362,0.9042105263157895,0.9102564102564102,17
0.01,"(50, 50)",lbfgs,tanh,0.2867906093597412,0.000965118408203125,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,18
0.01,"(50, 50)",lbfgs,relu,0.37861037254333496,0.008671045303344727,0.9545454545454546,0.9545454545454546,0.9536842105263157,0.9536842105263157,0.9536842105263157,19
0.01,"(100, 100)",adam,tanh,4.009493350982666,0.026157855987548828,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,20
0.01,"(100, 100)",adam,relu,3.5593643188476562,0.014248371124267578,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,21
0.01,"(100, 100)",lbfgs,tanh,0.5593602657318115,0.011542081832885742,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,22
0.01,"(100, 100)",lbfgs,relu,0.4550511837005615,0.016899585723876953,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,23
0.1,"(20, 20)",adam,tanh,2.473825693130493,0.029345989227294922,0.9090909090909091,0.9090909090909091,0.9067302596714362,0.9042105263157895,0.9102564102564102,24
0.1,"(20, 20)",adam,relu,2.8962512016296387,0.0006129741668701172,0.8863636363636364,0.8863636363636364,0.8842105263157896,0.8842105263157896,0.8842105263157896,25
0.1,"(20, 20)",lbfgs,tanh,0.3121006488800049,0.0008323192596435547,0.9545454545454546,0.9545454545454546,0.9539508110936683,0.9568421052631579,0.9520833333333334,26
0.1,"(20, 20)",lbfgs,relu,0.4870870113372803,0.0006222724914550781,0.9659090909090909,0.9659090909090909,0.9653679653679654,0.966842105263158,0.9641548927263213,27
0.1,"(50, 50)",adam,tanh,4.600097179412842,0.0010001659393310547,0.9431818181818182,0.9431818181818182,0.9422799422799423,0.9436842105263157,0.9411302982731554,28
0.1,"(50, 50)",adam,relu,3.223487615585327,0.0007424354553222656,0.9204545454545454,0.9204545454545454,0.9186798679867987,0.9173684210526316,0.9202437731849497,29
0.1,"(50, 50)",lbfgs,tanh,0.9386675357818604,0.0009813308715820312,0.9659090909090909,0.9659090909090909,0.9653679653679654,0.966842105263158,0.9641548927263213,30
0.1,"(50, 50)",lbfgs,relu,0.8841588497161865,0.0006630420684814453,0.9659090909090909,0.9659090909090909,0.9653679653679654,0.966842105263158,0.9641548927263213,31
0.1,"(100, 100)",adam,tanh,6.129795074462891,0.006911516189575195,0.9318181818181818,0.9318181818181818,0.9305263157894736,0.9305263157894736,0.9305263157894736,32
0.1,"(100, 100)",adam,relu,5.101634740829468,0.019573450088500977,0.9545454545454546,0.9545454545454546,0.9536842105263157,0.9536842105263157,0.9536842105263157,33
0.1,"(100, 100)",lbfgs,tanh,2.0332443714141846,0.0052640438079833984,0.9659090909090909,0.9659090909090909,0.9653679653679654,0.966842105263158,0.9641548927263213,34
0.1,"(100, 100)",lbfgs,relu,1.9752261638641357,0.019956588745117188,0.9659090909090909,0.9659090909090909,0.9653679653679654,0.966842105263158,0.9641548927263213,35
1.0,"(20, 20)",adam,tanh,2.9602723121643066,0.0005841255187988281,0.8863636363636364,0.8863636363636364,0.8834128245892953,0.8810526315789473,0.8867521367521367,36
